StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;id;age;gender;education;M1_1;M2_1;M3_1;M4_1;M5_1;U1_1;U2_1;U3_1;U4_1;S1_1;S2_1;S3_1;S4_1;S5_1;S6_1;I1_1;I2_1;I3_1;I4_1;I5_1;C1_1;C2_1;C4_1;C4_1;C5_1;ext_1;agr_1r;con_1;est_1r;ope_1;ext_2r;agr_2;con_2r;est_2;ope_2r;stomp_1_i;stomp_2_s;stomp_3_s;stomp_4_s;stomp_5_u;stomp_6_m;stomp_7_s;stomp_8_c;stomp_9_s;stomp_10_i;stomp_11_m;stomp_12_s;stomp_13_m;stomp_14_oldies;stomp_15_s;stomp_16_u;stomp_17_i;stomp_18_c;stomp_19_c;stomp_20_u;stomp_21_i;stomp_22_c;stomp_23_soundtrack;uom_1;uom_2r;uom_3;uom_4;uom_5;uom_6;uom_7;uom_8;uom_9;uom_10;uom_11;uom_12r;uom_13;uom_14;uom_15;eq1;eq2;eq3;eq4;eq5;eq6;eq7;eq8;eq9;eq10;eq11;eq12;eq13;eq14;eq15;eq16;eq17;eq18;eq19;eq20;eq21;eq22;sq1;sq2;sq3;sq4;sq5;sq6;sq7;sq8;sq9;sq10;sq11;sq12;sq13;sq14;sq15;sq16;sq17;sq18;sq19;sq20;sq21;sq22;sq23;sq24;sq25;SC0;SC1;SC2;SC3;SC4;SC5;MUSIC- Mellow mean;MUSIC- unpretentious mean;MUSIC- sophisticated mean;MUSIC- intense mean;MUSIC contemporary mean;TIPI_Extroversion;TIPI_Agreeableness;TIPI_Emotional Stability;TIPI_Conscientiousness;TIPI_Openness;Mellow;Unpretentious;Sophisticated;Intense;Contemporary;Create New Field or Choose From Dropdown...;Emotional Mean;Cognitive Mean;Background;EQ score mean;SQ score mean
05.02.21 06:49;05.02.21 07:08;0;88.107.90.96;100;1113;1;05.02.21 07:08;R_yvXgeaeJmIWZyjn;;;;;51,61959839;0,313293457;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Beg2001;19;2;1;2;1;2;2;1;1;2;1;3;2;3;1;1;2;3;1;1;1;2;2;4;2;3;1;3;2;6;5;3;3;3;6;5;5;5;4;3;3;2;2;4;3;2;2;2;2;2;5;3;2;6;2;2;2;3;2;2;4;4;4;3;4;2;1;3;2;4;2;2;2;2;3;2;3;4;2;2;3;2;3;3;3;3;2;3;2;3;3;3;2;2;2;2;2;3;1;1;3;3;2;3;2;1;3;2;3;2;1;1;2;1;2;1;2;2;2;1;3;2;2;43;5;12;10;8;8;1,6;1,75;2;1,4;2,6;2,5;6;4;5;4;6,666666667;6,666666667;9,142857143;6.56.5;5;;3,4;2,4;2,25;1,071428571;1
05.02.21 07:01;05.02.21 07:14;0;81.104.111.147;100;782;1;05.02.21 07:14;R_33DMfJ7YB3FoPX6;;;;;51,54969788;0,201400757;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Ahm2000;20;1;1;5;4;5;5;5;4;5;4;4;5;3;2;4;4;5;5;3;5;5;5;4;4;4;5;4;1;7;2;7;7;2;1;1;1;1;5;5;6;7;5;5;5;5;6;4;6;7;5;6;7;6;5;7;7;7;5;6;7;4;4;2;4;1;2;2;1;3;2;1;1;1;5;1;3;1;2;4;2;3;4;1;1;4;4;4;1;3;1;2;4;1;3;3;1;1;3;2;2;1;4;3;1;4;1;2;2;1;3;3;2;4;2;3;1;4;4;1;2;3;1;30;3;8;3;8;8;4,8;4,25;3,833333333;4,6;4,2;1,5;4;4;1,5;4;11;11;25;11.511.5;15,5;;3;2;2;1,222222222;1,454545455
05.02.21 07:03;05.02.21 07:15;0;85.255.235.1;100;741;1;05.02.21 07:15;R_3kj4qSJ63506DAc;;;;;51,49639893;-0,122406006;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Koy2000;19;1;1;4;2;4;4;4;1;4;2;3;4;2;3;3;4;3;1;1;2;2;1;2;2;3;4;4;5;6;6;6;6;3;5;6;6;6;4;4;4;5;3;4;2;4;2;1;3;4;3;2;3;5;2;6;4;2;2;5;6;3;4;4;4;2;1;3;3;2;3;4;3;2;2;1;3;4;2;3;2;3;2;3;2;3;2;3;3;3;3;3;1;2;3;3;2;2;3;3;2;2;3;2;2;4;2;3;2;2;4;1;2;2;2;2;1;2;3;2;2;2;3;55;8;11;12;12;12;3,6;2,5;3,166666667;1,4;3;4;5,5;6;6;6;6,333333333;6,333333333;12,85714286;5.55.5;11;;3,4;2,4;2,75;1,117647059;1,176470588
05.02.21 06:59;05.02.21 07:15;0;86.135.118.83;100;962;1;05.02.21 07:15;R_1DOwAXA8rtCAzWT;;;;;51,44689941;0,05090332;anonymous;EN;1;1;1;1;1;1;1;1;1;1;WIL2000;20;2;1;4;4;4;5;5;2;4;4;4;2;3;2;3;4;3;4;2;3;5;5;2;2;1;4;2;5;6;3;1;3;2;6;3;2;6;7;1;7;5;5;3;1;1;1;6;7;5;6;5;7;5;7;3;1;1;7;1;5;5;1;4;5;4;5;4;4;5;5;3;1;4;4;4;1;2;4;4;3;2;4;2;2;3;3;1;3;2;3;2;2;3;3;1;1;3;3;1;4;2;3;1;3;3;3;2;3;3;3;1;2;3;4;3;2;4;3;2;4;3;3;37;7;12;6;3;9;4,4;3,5;2,833333333;3,8;2,2;3,5;6;1,5;3;4,5;12;12;14,85714286;16.516.5;3;;3,8;4,6;3;1;1
05.02.21 06:58;05.02.21 07:16;0;82.31.248.128;100;1035;1;05.02.21 07:16;R_2CjOCrUnzG2iLnU;;;;;51,48280334;-0,13710022;anonymous;EN;1;1;1;1;1;1;1;1;1;1;POZ2000;21;2;1;4;4;4;3;4;4;4;4;4;5;4;3;4;5;2;2;1;2;2;2;3;3;3;4;3;5;3;4;3;6;4;5;4;5;5;2;4;5;5;5;5;5;4;4;2;6;5;6;6;4;5;4;5;5;4;3;5;4;4;4;4;4;4;4;3;2;3;3;4;2;4;4;3;3;3;2;2;2;3;2;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;4;2;3;2;3;3;1;4;2;2;1;1;3;3;1;4;2;2;1;1;4;2;3;3;2;44;9;8;8;8;11;3,8;4;3,833333333;1,8;3,2;4,5;4;4;4;5,5;11,66666667;11,66666667;17,71428571;6.256.25;11,75;;4;3;3,5;1;1,5
05.02.21 07:13;05.02.21 07:32;0;81.154.65.76;100;1099;1;05.02.21 07:32;R_1LvVqC2ybiOOUcc;;;;;51,51879883;-0,035995483;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Ahmed;20;1;1;4;1;5;1;1;1;1;1;1;1;4;1;1;4;5;3;1;1;4;2;4;2;4;4;1;2;6;5;3;6;2;6;3;5;5;5;2;2;5;5;2;2;2;2;2;2;5;2;2;2;2;2;5;2;2;2;5;7;4;4;1;4;5;3;3;3;2;3;4;4;2;3;1;3;3;3;2;2;3;1;3;3;4;3;3;3;3;3;3;1;3;3;3;3;4;4;3;2;1;3;3;2;4;2;2;2;2;3;3;2;2;2;3;1;4;3;3;2;3;3;43;4;12;8;8;11;2,4;1;2,666666667;2,2;3;2;6;4;4;5,5;4;4;11;7.257.25;7,25;;3,6;2,8;3,25;1,2;1,181818182
05.02.21 07:23;05.02.21 07:38;0;137.205.1.215;100;868;1;05.02.21 07:38;R_R1Oo0FuKY8C6uUV;;;;;52,38200378;-1,587402344;anonymous;EN;1;1;1;1;1;1;1;1;1;1;ZYM2000;20;2;1;3;3;2;4;2;1;1;1;2;3;3;2;4;4;3;2;1;2;4;1;3;3;3;4;4;3;7;5;2;6;2;7;4;3;5;6;5;5;5;1;2;1;1;1;1;5;6;5;5;5;2;1;7;1;1;1;7;1;5;5;4;5;5;5;4;3;4;5;4;2;5;5;5;3;3;2;1;3;3;1;3;3;4;2;2;4;3;4;4;1;3;3;3;3;4;3;2;3;2;3;1;2;3;2;2;2;1;3;2;2;2;3;2;2;3;2;2;3;3;2;44;5;14;9;5;11;2,8;1,25;3,166666667;2;3,4;2,5;7;2,5;4,5;5,5;9;9;14,57142857;6.256.25;7;;4,8;4,2;4;1,4;1,071428571
05.02.21 07:33;05.02.21 07:47;0;82.132.235.138;100;837;1;05.02.21 07:47;R_2SHpPDzgxIb6aPy;;;;;51,58880615;-0,024703979;anonymous;EN;1;1;1;1;1;1;1;1;1;1;CAN2001;19;2;1;2;3;3;4;5;2;4;3;4;3;3;1;4;3;4;1;1;3;3;2;3;3;4;4;4;6;3;6;5;7;7;6;7;5;5;4;2;2;1;4;2;1;1;1;1;1;1;4;3;3;7;2;6;1;1;1;1;5;4;5;4;4;4;2;2;1;2;1;1;1;4;4;3;4;4;2;2;3;3;2;4;4;4;3;1;3;3;4;3;1;2;2;2;1;4;3;1;2;2;1;4;3;2;1;1;2;3;2;2;3;1;3;1;3;4;1;3;3;1;3;57;13;9;13;10;12;3,4;3,25;3;2;3,6;6,5;4,5;5;6,5;6;4,333333333;4,333333333;6,571428571;5.255.25;3,75;;4,2;1,6;2,5;1,533333333;1,375
05.02.21 07:43;05.02.21 07:58;0;82.11.253.67;100;888;1;05.02.21 07:58;R_1dhn9qYzNh7lgvK;;;;;51,46380615;0,1434021;anonymous;EN;1;1;1;1;1;1;1;1;1;1;SUN1972;48;1;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;7;6;6;6;4;3;6;6;4;5;6;6;6;5;6;5;5;4;6;4;5;4;6;5;5;6;6;5;5;6;5;6;4;5;4;4;3;3;1;1;2;2;4;4;2;4;2;3;3;2;2;2;3;2;3;3;3;2;2;2;3;3;3;2;3;3;3;3;2;4;4;1;3;4;2;1;4;1;1;1;1;4;2;4;4;3;3;2;2;2;3;3;4;2;52;8;10;12;12;10;3,6;4;4;3,8;4;4;5;6;6;5;8,666666667;8,666666667;20,42857143;14.2514.25;12,75;;4;1,8;3,5;1;1,722222222
05.02.21 07:47;05.02.21 08:11;0;80.0.111.228;100;1459;1;05.02.21 08:11;R_bx52pGsOYSR3Eul;;;;;51,45599365;-0,061096191;anonymous;EN;1;1;1;1;1;1;1;1;1;1;HAN2000;20;1;1;3;1;2;3;2;1;1;1;1;4;4;4;3;4;4;3;3;3;3;2;4;3;2;4;2;3;3;2;6;6;6;3;3;3;6;5;1;1;5;1;6;2;5;1;4;4;4;3;3;4;2;4;3;4;1;5;3;6;2;4;1;2;1;2;2;3;2;2;5;4;4;3;2;3;2;3;2;1;2;3;2;3;3;3;3;2;3;2;3;4;2;2;2;2;2;2;2;2;2;3;2;2;4;2;3;1;2;3;3;4;1;2;2;1;3;1;3;3;3;3;41;9;6;5;9;12;2,2;1;3,833333333;2,8;3;4,5;3;4,5;2,5;6;8;8;11,28571429;1111;10;;2;2,2;4;1,125;1,214285714
05.02.21 07:25;05.02.21 08:42;0;79.66.61.90;100;4593;1;05.02.21 08:42;R_1LMuJXIpsj3WeQp;;;;;51,47459412;-0,092407227;anonymous;EN;1;1;1;1;1;1;1;1;1;1;SUB2000;20;2;1;4;4;5;2;3;3;5;3;5;4;3;1;2;4;3;2;1;2;4;4;4;4;2;4;2;1;2;6;2;5;2;6;6;5;3;7;3;3;5;6;5;5;5;1;2;4;5;5;6;1;7;2;5;5;5;2;6;7;4;4;2;4;2;4;1;1;2;3;2;1;2;5;2;3;3;3;1;2;3;3;3;3;4;2;2;3;2;3;4;2;3;3;3;4;3;4;1;3;2;3;3;2;2;3;2;4;1;3;2;3;3;2;4;2;3;2;1;3;2;2;38;3;8;12;7;8;3,6;4;2,833333333;2,6;3,2;1,5;4;3,5;6;4;9;9;11,42857143;8.758.75;13;;3,2;2,2;2,5;1,222222222;1,230769231
05.02.21 08:19;05.02.21 08:48;0;82.18.60.12;100;1698;1;05.02.21 08:48;R_1fcSZ7it3W0gzEN;;;;;51,77830505;0,10609436;anonymous;EN;1;1;1;1;1;1;1;1;1;1;EVA2000;20;2;1;2;3;3;3;4;2;3;3;4;4;4;1;4;3;4;4;2;3;3;4;3;2;5;5;5;3;4;5;2;5;2;6;2;2;7;5;1;5;2;2;4;6;6;2;1;1;5;4;5;1;4;1;7;1;1;7;7;2;5;1;3;5;4;5;5;5;4;4;4;2;4;5;5;3;4;4;2;4;4;2;4;3;3;2;2;4;4;4;3;3;3;2;3;3;4;2;1;4;4;2;1;4;3;2;1;3;1;3;2;1;4;3;2;2;3;3;1;2;2;3;38;5;10;7;4;12;3;3;3,333333333;3,2;4;2,5;5;2;3,5;6;5;5;10,14285714;77;10,75;;3,6;4,6;3,75;1,411764706;1,4
05.02.21 09:21;05.02.21 09:48;0;82.11.253.67;100;1653;1;05.02.21 09:48;R_ANVIXorjCYUuVep;;;;;51,46380615;0,1434021;anonymous;EN;1;1;1;1;1;1;1;1;1;1;SUN1999;22;2;2;2;2;2;2;2;1;1;2;2;2;2;2;3;2;3;5;5;5;5;5;3;4;3;2;2;6;4;7;3;7;5;6;1;3;6;4;4;4;5;4;5;4;5;2;5;4;3;4;7;4;5;6;6;2;2;5;5;7;5;5;4;5;4;2;2;3;4;4;5;5;5;5;5;3;3;1;2;2;2;1;3;3;3;2;4;3;3;3;3;3;3;2;3;3;4;4;2;2;1;3;1;1;4;3;1;2;1;4;4;2;2;1;1;4;4;1;2;4;2;2;48;11;10;8;6;13;2;1,5;2,333333333;5;2,8;5,5;5;3;4;6,5;8,333333333;8,333333333;14,71428571;12.2512.25;9,75;;4,6;3;5;1,210526316;1,642857143
05.02.21 09:38;05.02.21 09:51;0;79.71.12.67;100;796;1;05.02.21 09:51;R_2qxCglhqccsLHzE;;;;;51,51280212;-0,063796997;anonymous;EN;1;1;1;1;1;1;1;1;1;1;IMA2000;20;2;1;1;1;2;4;3;2;3;2;2;4;4;2;3;3;4;3;3;3;3;4;1;3;5;5;5;5;3;5;3;5;3;5;7;3;3;4;4;5;1;2;1;2;2;5;2;4;3;4;4;1;5;2;7;7;4;2;7;4;4;4;4;3;4;3;3;3;4;4;4;4;2;4;3;4;4;2;2;2;3;2;4;3;4;2;2;4;4;4;4;2;3;3;3;3;2;4;1;2;2;4;2;1;4;2;2;2;1;4;2;3;3;3;4;1;2;4;3;2;3;1;42;8;8;12;6;8;2,2;2,25;3,333333333;3,2;3,8;4;4;3;6;4;7;7;10,42857143;6.56.5;13,75;;3,8;3,4;3,5;1,4;1,5
05.02.21 09:40;05.02.21 09:53;0;81.129.221.127;100;793;1;05.02.21 09:53;R_1Qt0TELTqALmthU;;;;;51,27670288;0,184005737;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Gui1970;50;2;1;5;4;5;5;1;5;5;4;5;3;1;4;2;4;2;1;1;5;3;4;4;3;3;3;4;6;6;7;7;6;7;6;7;7;2;6;6;5;7;7;6;6;5;5;2;2;1;2;6;6;6;1;4;3;2;3;6;6;5;5;5;4;5;4;1;1;2;1;4;1;5;5;5;4;4;1;2;1;3;2;4;4;4;1;4;3;4;3;3;2;3;4;3;4;4;4;1;3;4;3;3;3;4;3;1;3;3;4;3;1;3;2;1;2;2;1;3;4;3;2;61;13;12;14;14;8;4;4,75;2,666666667;2,8;3,4;6,5;6;7;7;4;5,333333333;5,333333333;22,28571429;7.757.75;10,75;;4,8;1,8;3,75;1,590909091;1,333333333
05.02.21 09:35;05.02.21 09:55;0;86.191.39.106;100;1169;1;05.02.21 09:55;R_2BmQQmAzjAfF66h;;;;;52,15969849;-0,499099731;anonymous;EN;1;1;1;1;1;1;1;1;1;1;STA2000;20;2;1;5;2;5;2;4;4;2;4;1;3;4;3;4;5;5;4;1;2;2;3;4;4;2;3;5;5;5;6;1;5;5;6;6;4;6;6;4;5;7;1;7;1;7;5;1;2;6;2;7;6;6;5;7;7;1;6;7;7;5;5;4;4;4;4;1;2;2;2;2;2;2;5;2;3;4;2;1;2;4;1;4;3;4;2;3;3;4;3;3;1;3;3;3;2;3;3;1;4;2;2;1;3;1;2;3;2;3;3;3;2;1;4;2;4;4;2;2;4;1;4;49;10;11;12;5;11;3,6;2,75;4;2,4;3,6;5;5,5;2,5;6;5,5;5,666666667;5,666666667;20;9.59.5;17,5;;4,4;2,2;2,75;1,380952381;1
